"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1994,"Indirecto","COVDM",0,0002,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1994,"Indirecto","SO2",0,0857,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.A - Industria Mineral","2.A.3 - Producción de vidrio",1994,"Indirecto","COVDM",0,118,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.B - Industria Química","2.B.10 - Otros ",1994,"Indirecto","SO2",1,6,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.3 - Uso de solventes",1994,"Indirecto","COVDM",4,804678452,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.4 - Otros (Asfalto)",1994,"Indirecto","COVDM",0,00060912,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1994,"Indirecto","NOx",0,0268,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1994,"Indirecto","CO",0,147,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1994,"Indirecto","COVDM",0,0536,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1994,"Indirecto","SO2",0,0536,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.2 - Industria de la Alimentación y Bebidas",1994,"Indirecto","COVDM",2,45429,"N/A","N/A",
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",1994,"Indirecto","NOx",0,2922595,"N/A","N/A",
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",1994,"Indirecto","CO",7,036835,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1994,"Indirecto","NOx",0,0959,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1994,"Indirecto","CO",28,7655,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1994,"Indirecto","COVDM",0,4555,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1994,"Indirecto","SO2",0,1429,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1994,"Indirecto","NOx",15,104,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1994,"Indirecto","CO",1,4187,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1994,"Indirecto","COVDM",0,53,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1994,"Indirecto","SO2",6,4447,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1998,"Indirecto","NOx",1,3337,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1998,"Indirecto","CO",0,0831,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1998,"Indirecto","COVDM",0,0155,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.1 - Industrias de la Energía",1998,"Indirecto","SO2",6,9904,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1998,"Indirecto","NOx",2,3456,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1998,"Indirecto","CO",2,1192,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1998,"Indirecto","COVDM",0,1395,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.2 - Industrias Manufactureras y de la Construcción",1998,"Indirecto","SO2",16,7835,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1998,"Indirecto","NOx",20,5782,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1998,"Indirecto","CO",47,4501,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1998,"Indirecto","COVDM",6,6909,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.3 - Transporte",1998,"Indirecto","SO2",9,9187,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1998,"Indirecto","NOx",9,2641,"N/A","N/A",
