id,nombre,operador_norm,web,continente,pais,pais_iso,ciudad,direccion,latitud,longitud,estado,estado_ord,anio_registro,inversion_usd_m,cap_mw,consumo_electrico_mw,consumo_agua_ml_año,agua_indirecta_ml_año,agua_total_ml_año,co2_ton_año,tecnologia_refrigeracion,riesgo_hidrico_cuenca,riesgo_hidrico_cuenca_ord,riesgo_hidrico_pais,riesgo_hidrico_pais_ord,divergencia_pais_cuenca,bws_descripcion,tamaño_categoria,tamaño_porredes
8445,Timico - Telford (TEL),Digital Space Group Ltd,https://www.timico.com/services/cloud-and-hosting/#colocation,Europa,Reino Unido,GB,Telford,Timico Limited,52.719444,-2.456604,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8447,Timico - Newport (NPT),Digital Space Group Ltd,https://www.timico.com/services/cloud-and-hosting/#colocation,Europa,Reino Unido,GB,Newport,Timico Limited,52.762453,-2.364986,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
2655,Centersquare Tampa (TPA1),Centersquare,https://centersquaredc.com/data-centers/tampa,América del Norte,Estados Unidos,US,Tampa,9310 Florida Palm Drive,27.945324,-82.351199,operativo,2,2016,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,Medium - High (20-40%),3.0,0.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
4772,Digital Realty Amsterdam AMS15-16,Digital Realty,https://www.digitalrealty.com,Europa,Países Bajos,NL,Hoofddorp,Jan Wijsmullerdreef 2132,52.290296,4.679718,operativo,2,2017,,,0.28,4415040,6181056,10596096,1060,evaporativa (agua),Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
15589,Lumen Kansas City,Lumen Technologies Inc,https://www.lumen.com/,América del Norte,Estados Unidos,US,Kansas City,1212 E. 19th St,39.090638,-94.568428,operativo,2,2024,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
15599,Apotech,Apotech,https://apotechgroup.com,América del Norte,Estados Unidos,US,Mount Prospect,1331 E Business Center Dr,42.078443,-87.915648,operativo,2,2024,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
9925,Direct LTx Reading,Directlink Technologies Corp.,http://www.DirectLtx.com,América del Norte,Estados Unidos,US,Reading,2561 Bernville Rd,40.381319,-75.982026,operativo,2,2021,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,Medium - High (20-40%),3.0,0.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
9982,ILK Datacenter TPK2 Karlsruhe,ILK Internet GmbH,https://www.ilk.net/tpk-services/,Europa,Alemania,DE,Karlsruhe,Albert-Nestler-Straße 9,49.02014,8.44067,operativo,2,2021,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
10049,Keliweb DC2,Keliweb S.R.L,https://www.keliweb.it/datacenter.php,Europa,Italia,IT,Rende,Via Bartolomeo Diaz 35,39.363418,16.25075,operativo,2,2021,,,0.28,4415040,6181056,10596096,1060,mixto,Extremely High (>80%),5.0,High (40-80%),4.0,1.0,ALTO: entre 40-80% del agua disponible comprometida,,local
10059,TELCONET Buenos Aires,TELCONET S. A. Argentina,http://telconet.com.ar/index.php/colocacion/,América del Sur,Argentina,AR,Buenos Aires,Maipú 267,-34.605023,-58.376412,operativo,2,2021,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
