Fecha denuncia,Via de ingreso,Departamento,Motivo 1,Motivo 2,Motivo 3,Derivacion ext 1,Derivacion ext 2
2023-01-25,Teléfono,Canelones,Contaminación por agroquímicos,Sin Dato,Sin Dato,MGAP-DGSA,Sin Dato
2023-01-25,Web,Maldonado,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-25,Web,Maldonado,Otros,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-25,Web,Tacuarembó,Otros,Sin Dato,Sin Dato,MGAP-Dir. Forestal,Sin Dato
2023-01-26,Web,Treinta y Tres,Emisiones de chimenea y polvo (material particulado) de industrias,Sin Dato,Sin Dato,GD-Treinta y Tres,Sin Dato
2023-01-26,Web,Canelones,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-26,Web,Artigas,Otros,Sin Dato,Sin Dato,GD-Artigas,Sin Dato
2023-01-26,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,MSP,Sin Dato
2023-01-26,Reguladora de trámite,Durazno,Envases de plaguicidas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-23,Reguladora de trámite,Lavalleja,"Vertidos de efluentes de locales comerciales, residencias",Contaminación cuerpo de agua,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,"Residuos industriales, especiales y otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Montevideo,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-27,Web,Maldonado,Otros,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-29,Web,Salto,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-27,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-27,Web,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-01-27,Web,Montevideo,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-28,Web,Paysandú,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Paysandú,Sin Dato
2023-01-28,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-01-29,Web,Canelones,"Residuos industriales, especiales y otros",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-01-29,Web,Maldonado,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-29,Web,Canelones,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-01-30,Correo electrónico,Durazno,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Correo electrónico,Rocha,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Teléfono,Colonia,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Web,Rocha,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Web,Rocha,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-31,Web,Rocha,Actividades en Áreas protegidas no autorizadas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-01,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Correo electrónico,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-01,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,MSP,GD-Montevideo
2023-02-01,Web,Montevideo,Ruidos de industrias,Sin Dato,Sin Dato,GD-Montevideo SIME,GD-Montevideo
2023-02-01,Reguladora de trámite,Canelones,Extracción de minerales en alvéo de curso de agua,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-01-30,Teléfono,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-02,Web,Maldonado,Contaminación cuerpo de agua,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-02,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Web,Rocha,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Web,Rocha,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Web,Canelones,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-03,Web,Flores,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Web,Canelones,Construcciones irregulares en faja de defensa de costas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Correo electrónico,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-03,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-03,Web,Florida,Extracción de minerales en alvéo de curso de agua,Sin Dato,Sin Dato,MTOP-DNH,Sin Dato
2023-02-03,Web,Canelones,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-05,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-05,Web,Montevideo,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-05,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-06,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,MSP,Sin Dato
2023-02-06,Web,Montevideo,Vertidos de efluentes industriales,Sin Dato,Sin Dato,ANP,PNN
2023-02-06,Web,Maldonado,Ruidos de industrias,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-06,Web,Canelones,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Contaminación cuerpo de agua,Sin Dato,Sin Dato,Sin Dato
2023-02-06,Web,Paysandú,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Paysandú,Sin Dato
2023-02-06,Web,Florida,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Florida,MSP
2023-02-07,Web,Durazno,Otros,Sin Dato,Sin Dato,MTOP-DNV,GD-Durazno
2023-02-07,Web,Colonia,Riesgos ambientales por almacenamiento y fraccionamiento de sustancias químicas y/o derrames en la vía pública,Sin Dato,Sin Dato,GD-Colonia,Sin Dato
2023-02-07,Teléfono,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-07,Web,Colonia,Otros,Sin Dato,Sin Dato,GD-Colonia,Sin Dato
2023-02-07,Web,Montevideo,Otras actividades irregulares en faja de defensa de costas,Sin Dato,Sin Dato,GD-Montevideo,PNN
2023-02-07,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-07,Web,San José,Otros,Sin Dato,Sin Dato,MGAP-DINARA,GD-San José
2023-02-07,Web,Tacuarembó,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Tacuarembó,Sin Dato
2023-02-08,Web,Lavalleja,Residuos asimilables a urbanos,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-08,Web,Colonia,Extracción de minerales en alvéo de curso de agua,Sin Dato,Sin Dato,MGAP-Dir. Forestal,DINAGUA
2023-02-09,Web,Canelones,Tala de Monte Nativo y/o otras especies autóctonas,Sin Dato,Sin Dato,MGAP-Dir. Forestal,Sin Dato
2023-02-08,Web,Soriano,Contaminación por agroquímicos,Sin Dato,Sin Dato,MGAP-DGSA,MSP
2023-02-09,Web,Tacuarembó,Otros,Sin Dato,Sin Dato,DINAGUA,Sin Dato
2023-02-10,Web,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-10,Web,Soriano,Envases de plaguicidas,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-10,Correo electrónico,Salto,Extracción de horizontes de suelo,Sin Dato,Sin Dato,MIEM-DINAMIGE,Sin Dato
2023-02-10,Correo electrónico,Salto,Extracción de horizontes de suelo,Sin Dato,Sin Dato,MIEM-DINAMIGE,Sin Dato
2023-02-10,Web,Soriano,Extracción de horizontes de suelo,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-10,Web,Montevideo,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-10,Web,Canelones,Otros,Sin Dato,Sin Dato,DINAGUA,Sin Dato
2023-02-10,Web,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-02-12,Web,Colonia,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Colonia,Sin Dato
2023-02-12,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-12,Web,Canelones,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-13,Web,Canelones,Tala de Monte Nativo y/o otras especies autóctonas,Sin Dato,Sin Dato,MGAP-Dir. Forestal,Sin Dato
2023-02-10,Web,Maldonado,Ruidos de industrias,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-13,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-13,Web,Paysandú,Otros,Sin Dato,Sin Dato,DINAGUA,Sin Dato
2023-02-13,Web,Canelones,Vertido de barométricas,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-13,Web,Canelones,Afectación de humedales y/o áreas de interés ecosistémico,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-13,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,MSP,Sin Dato
2023-02-14,Web,Maldonado,Otros,Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-02-14,Correo electrónico,Montevideo,Otros,Sin Dato,Sin Dato,OSE,Sin Dato
2023-02-14,Web,Rocha,"Vertidos de efluentes de locales comerciales, residencias",Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-02-14,Web,Maldonado,Afectación de humedales y/o áreas de interés ecosistémico,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-14,Web,Maldonado,Contaminación cuerpo de agua,Sin Dato,Sin Dato,GD-Maldonado,PNN
2023-02-14,Web,Canelones,Contaminación cuerpo de agua,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-14,Web,Florida,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,GD-Florida,MSP
2023-02-14,Web,Montevideo,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-14,Web,Maldonado,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-02-15,Web,San José,Vertido de barométricas,Sin Dato,Sin Dato,GD-San José,Sin Dato
2023-02-15,Correo electrónico,Río Negro,Emisiones de chimenea y polvo (material particulado) de industrias,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-15,Web,San José,Contaminación cuerpo de agua,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-15,Web,Durazno,Contaminación cuerpo de agua,Sin Dato,Sin Dato,GD-Durazno,Sin Dato
2023-02-15,Web,Canelones,Emisiones al aire,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-15,Web,Durazno,Contaminación cuerpo de agua,Sin Dato,Sin Dato,GD-Durazno,Sin Dato
2023-02-15,Web,Colonia,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-15,Web,Montevideo,Otros,Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-15,Web,Rocha,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,,Sin Dato
2023-02-15,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-16,Correo electrónico,San José,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,,Sin Dato
2023-02-16,Web,Montevideo,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-16,Correo electrónico,Rocha,Extracción de minerales en alvéo de curso de agua,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-16,Web,Salto,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-16,Web,Canelones,Vertidos de efluentes industriales,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-16,Web,Montevideo,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-16,Web,Maldonado,Contaminación cuerpo de agua,Sin Dato,Sin Dato,GD-Maldonado,PNN
2023-02-17,Teléfono,Colonia,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-17,Correo electrónico,Rocha,Otros,Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-02-17,Web,Colonia,Otros,Sin Dato,Sin Dato,MGAP,Sin Dato
2023-02-17,Web,Durazno,Vertidos de efluentes industriales,Sin Dato,Sin Dato,GD-Durazno,Sin Dato
2023-02-17,Web,San José,Vertido de barométricas,Sin Dato,Sin Dato,GD-San José,Sin Dato
2023-02-18,Web,Rocha,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-18,Web,Canelones,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-19,Web,Maldonado,Vehículos en faja defensa de costa,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-19,Web,Lavalleja,"Caza, tenencia y venta ilegal de fauna",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-20,Web,Rocha,Otros,Sin Dato,Sin Dato,GD-Rocha,Sin Dato
2023-02-20,Web,Maldonado,Ruidos de comercios y residencias. Otros ruidos,Sin Dato,Sin Dato,GD-Maldonado,Sin Dato
2023-02-20,Web,Canelones,"Residuos industriales, especiales y otros",Sin Dato,Sin Dato,GD-Canelones,Sin Dato
2023-02-21,Web,Tacuarembó,Residuos asimilables a urbanos,Sin Dato,Sin Dato,GD-Tacuarembó,Sin Dato
2023-02-21,Web,Montevideo,"Olores molestos provenientes de comercios, residencias",Sin Dato,Sin Dato,GD-Montevideo,Sin Dato
2023-02-27,Teléfono,Colonia,"Olores molestos provenientes de industrias, saneamiento, establecimientos de engorde a corral, vertederos,gestores de residuos, otros",Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-22,Web,Canelones,Emisiones de chimenea y polvo (material particulado) de industrias,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2023-02-22,Web,Rocha,Emisiones de chimenea y polvo (material particulado) de industrias,Sin Dato,Sin Dato,GD-Rocha,MSP
2023-02-22,Web,Treinta y Tres,"Emisiones de chimenea hoteles, residencias, comercios",Sin Dato,Sin Dato,GD-Treinta y Tres,Sin Dato
2023-02-23,Web,Colonia,Ruidos de industrias,Sin Dato,Sin Dato,GD-Colonia,Sin Dato
